created_at,Date,Post Type,file_name,folder_name,tweet_id,username,name,first_name,last_name,full_text,view_count,bookmark_count,favorite_count,retweet_count,reply_count,quote_count,bookmarked,favorited,retweeted,user_mentions,url_mentions,is_quote_status,lang,location,bio,website,websites,followers_count,following_count,media_count,statuses_count,favourites_count,listed_count,fast_followers_count,normal_followers_count,followed_by,following,can_dm,can_media_tag,profile_banner_url,profile_url,avatar_url,verified,is_blue_verified,user_created_at,Image,Video Thumbnail
2024-04-17T06:34:45.000Z,2024-04-17T06:34:45.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,हिन्दु धर्मावलम्बीहरूको रामनवमी पर्वको अवसरमा हार्दिक मंगलमय शुभकामना🙏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/GLWNsn_WQAAMuax?format=jpg&name=medium,
2024-04-16T15:10:47.000Z,2024-04-16T15:10:47.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,जनमत पार्टीका राष्ट्रिय अध्यक्ष माननीय डा. सी.के राउत ज्यु निवासमा पुगि र पार्टीका राष्ट्रिय वरिष्ठ उपाध्यक्ष माननीय अब्दुल खान ज्युको सुस्वास्थ्य अवस्था बुझ्नु भयाे र शीघ्र स्वास्थ्य लाभको कामना गर्नुको साथ समसामयिक राजनीति बारे विशेष छलफल पनि गरियाे।,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://pbs.twimg.com/media/GLS6OABWgAArmUU?format=jpg&name=900x900,https://pbs.twimg.com/media/GLS6OBrWIAAq_u_?format=jpg&name=small,https://pbs.twimg.com/media/GLS6OCxWwAALuuZ?format=jpg&name=small",
2024-04-13T02:09:58.000Z,2024-04-13T02:09:58.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,"नयाँ वर्षको अवसरमा हार्दिक मंगलमय शुभकामना।
#NewYear2081 #nepal #kathmandu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/GLAqu_YWAAAy2M4?format=jpg&name=medium,
2024-04-12T01:40:29.000Z,2024-04-12T01:40:29.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,"प्रत्यक्ष (निवासमा भेटघाट गरी) र अप्रत्यक्ष (फोन मार्फत)रूपमा शीघ्र स्वास्थ्य लाभको कामना गर्नु भएका पुर्व बाँके जिल्ला इन्चार्ज, जनमत पार्टी श्री तेज नारायण कँडेल ज्यु, श्री इन्द्रजीत साफी ज्यु/श्री कौशल आचार्य ज्यु लगायत अन्य साथीहरुलाई धेरै धेरै धन्यवाद व्यक्त गर्न चाहन्छु।",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/GK7aZP5WIAAfhS0?format=jpg&name=medium,
2024-04-11T15:44:12.000Z,2024-04-11T15:44:12.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,"प्रत्यक्ष (निवासमा भेटघाट गरी) र अप्रत्यक्ष (फोन मार्फत)रूपमा शीघ्र स्वास्थ्य लाभको कामना गर्नु भएका प्रभावशाली नेत्री लगायत वरिष्ठ नेता तथा साथीहरुलाई धेरै धेरै धन्यवाद व्यक्त गर्न चाहन्छु।
- माननीय अब्दुल खान (राष्ट्रिय वरिष्ठ उपाध्यक्ष,जनमत पार्टी)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/GK5R6y0W8AAnF3F?format=jpg&name=medium,
2024-04-11T09:09:25.000Z,2024-04-11T09:09:25.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,"निवासमा आई भेटघाट गरी शीघ्र स्वास्थ्य लाभको कामना गर्नु भएकामा उद्योग तथा वाणिज्य र श्रम उपभोक्ता समितिका उपसचिव श्री प्रदीप कुमार नेपाल ज्यु, EPC कम्पनीका संचालक श्री सन्दिप कुमार कण्ठ ज्यु लगायत श्री ई. सुरज कुमार साह ज्युलाई धेरै धेरै धन्यवाद!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://pbs.twimg.com/media/GK33jijW0AE5Vio?format=jpg&name=small,https://pbs.twimg.com/media/GK33jgdWsAACfwK?format=jpg&name=small,https://pbs.twimg.com/media/GK33jmEWkAArDFI?format=jpg&name=small,https://pbs.twimg.com/media/GK33jq8X0AAezJr?format=jpg&name=small",
2024-04-04T00:21:24.000Z,2024-04-04T00:21:24.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,"जनमत पार्टीका राष्ट्रिय अध्यक्ष माननीय डा.सिके राउत ज्युलाई #जापानको नारिता विमानस्थलमा भव्यताका साथ स्वागत् गरियो।

जापानमा रहनु भएका जमील अहमद खान लगायत स्वागत् गर्न आउनु भएका सम्पूर्ण स्वराजी साथीहरुलाई धेरै धेरै धन्यवाद!!

#Japan #welcome #DrCkraut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://pbs.twimg.com/media/GKR7kizX0AA01JE?format=jpg&name=small,https://pbs.twimg.com/media/GKR7kCiXgAAs8K6?format=jpg&name=small,https://pbs.twimg.com/media/GKR7kuUWwAAg9-9?format=jpg&name=small,https://pbs.twimg.com/media/GKR7kAqXYAAQ9zf?format=jpg&name=small",
2024-04-02T16:21:53.000Z,2024-04-02T16:21:53.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,"#शुभ_यात्रा 
जनमत पार्टीका राष्ट्रिय अध्यक्ष माननीय डा. सिके राउत ज्यु 
आज चैत्र २० गते (अप्रिल २) मंगलबारका दिन राती ११:१५ बजेको उडानबाट #जापान जाँदै।
शुभ यात्रा अध्यक्ष ज्यु 
 नोट:नारिता विमानस्थलमा ओर्लिने समय अप्रिल ३ बुधबार दिउँसो २:३० बजे। 
#happyjourney #drckraut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://pbs.twimg.com/media/GKLEKYRbcAAOIeI?format=jpg&name=small,https://pbs.twimg.com/media/GKLEKwWb0AAcGcB?format=jpg&name=small,https://pbs.twimg.com/media/GKLEPGiaEAAo-MY?format=jpg&name=small,https://pbs.twimg.com/media/GKLEM-XbQAA2FnT?format=jpg&name=small",
2024-03-31T15:05:50.000Z,2024-03-31T15:05:50.000Z,image,khanabdul_24,Janamat,,khanabdul_24,,,,"हम भी दरिया हैं हमें अपना हुनर मालूम है, जिस तरफ भी चल पड़ेंगे रास्ता हो जाएगा......!!
आपका जज्बा अगर मजबूत हो तो फिर आप जहां भी जाएंगे रास्ता बनता जाएगा....!!",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/GKAfosSaAAI4hbP?format=jpg&name=medium,
2024-03-21T11:27:19.000Z,2024-03-21T11:27:19.000Z,text,khanabdul_24,Janamat,,khanabdul_24,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
